,obsNo,userID,itemID,styleID,rating,brewerID,timestamp
34361,34388,629,1018,263,4.5,263,1169360528
20635,20644,5768,20470,394,3.0,394,1222029461
13013,13022,1042,35036,1199,4.5,1199,1283618267
3126,3126,5224,7348,1199,3.5,1199,1232323069
20464,20473,4711,21822,1199,5.0,1199,1235738254
13381,13390,568,40766,16791,2.0,16791,1237854545
36104,36131,1399,5441,1199,4.0,1199,1313717548
27789,27816,773,20539,394,4.0,394,1261609874
35599,35626,4839,29145,263,3.0,263,1249437907
17356,17365,2540,11757,1199,4.5,1199,1295736988
2914,2914,883,35036,1199,3.5,1199,1297401795
18275,18284,4230,47695,14879,4.0,14879,1240367227
34138,34165,31,16073,1199,4.0,1199,1156120851
18428,18437,365,21436,14,4.0,14,1242052229
32758,32785,14,429,1,4.5,1,1013797431
12735,12744,1379,7672,3268,4.5,3268,1244207857
4897,4897,1055,20169,6513,4.0,6513,1096846396
19459,19468,2576,727,263,4.0,263,1296003421
24717,24726,3583,55900,1199,4.0,1199,1276549305
6659,6668,800,20478,1199,4.0,1199,1319757566
13650,13659,2257,47658,1199,4.5,1199,1267216054
10944,10953,3399,7463,1199,4.0,1199,1275345036
20562,20571,655,7348,1199,4.5,1199,1320720095
15209,15218,1245,10784,1075,4.0,1075,1204167240
14382,14391,4728,429,1,5.0,1,1207710673
3165,3165,3683,11757,1199,4.5,1199,1241396814
12649,12658,6117,16122,2430,3.5,2430,1212988754
33205,33232,2086,58053,395,3.5,395,1282611441
6288,6297,4272,24905,1199,4.5,1199,1259806516
8972,8981,666,75029,24477,2.0,24477,1320773501
34300,34327,642,3824,1417,4.0,1417,1296096276
9264,9273,6302,24059,3268,2.0,3268,1206503733
24520,24529,3253,47658,1199,5.0,1199,1286037483
42168,42195,6424,33227,365,3.5,365,1201855637
17592,17601,1049,48911,1199,3.5,1199,1317782453
23725,23734,6632,16638,3268,3.0,3268,1109805228
21925,21934,3650,57110,14879,4.5,14879,1271131959
23253,23262,673,47658,1199,4.0,1199,1320712886
4968,4968,3068,11757,1199,5.0,1199,1287982786
11248,11257,1332,4073,1199,3.5,1199,1309931643
12619,12628,1568,429,1,4.5,1,1280541421
20934,20943,6731,16638,3268,3.5,3268,1091347467
15195,15204,1245,2106,394,4.5,394,1187915531
35479,35506,1599,43312,394,4.5,394,1241831204
22393,22402,1324,21822,1199,4.5,1199,1301273254
8624,8633,8206,727,263,4.0,263,1059633750
40228,40255,111,1324,263,4.5,263,1297660541
39632,39659,2594,20539,394,4.0,394,1275880944
22102,22111,2321,52445,18185,3.0,18185,1252415951
13042,13051,1042,11757,1199,4.0,1199,1254459787
24291,24300,4226,29687,395,4.5,395,1264815680
27696,27723,1183,29145,263,4.0,263,1311393527
33993,34020,5725,35036,1199,4.5,1199,1227659668
44070,44097,467,4073,1199,5.0,1199,1265511857
10340,10349,6994,5411,394,3.5,394,1157660520
11149,11158,1188,7348,1199,4.5,1199,1301966619
12266,12275,521,16638,3268,3.5,3268,1144549070
29933,29960,2414,7348,1199,4.0,1199,1250371047
17479,17488,7478,727,263,3.5,263,1146108466
23067,23076,335,36670,394,4.5,394,1219077985
30620,30647,1779,1504,568,2.5,568,1255740892
36580,36607,2093,48525,365,4.0,365,1269572563
2548,2548,4212,16115,1199,3.5,1199,1186891625
31471,31498,1560,1622,394,3.5,394,1242258884
28818,28845,5643,24905,1199,3.0,1199,1230142340
28453,28480,2902,505,14,4.0,14,1292201583
10467,10476,2478,963,365,3.5,365,1259648181
38069,38096,2623,53468,1199,2.5,1199,1257002580
13276,13285,74,45878,14,4.5,14,1326051065
10020,10029,401,28350,3268,4.0,3268,1241659997
37475,37502,190,26201,453,3.0,453,1308256156
13959,13968,7300,3824,1417,2.5,1417,1156126705
12946,12955,3456,19960,1199,4.5,1199,1282028267
19099,19108,3995,55900,1199,2.5,1199,1269185699
32431,32458,3571,178,60,4.0,60,1254869741
41890,41917,262,74683,26990,4.5,26990,1323477331
9671,9680,3734,47658,1199,4.0,1199,1250357706
6923,6932,798,16074,1199,4.5,1199,1294808399
21786,21795,2763,17094,9020,5.0,9020,1276468857
29852,29879,6883,4073,1199,4.0,1199,1178480947
25804,25831,7199,24905,1199,4.5,1199,1152933767
17236,17245,7363,19337,1199,4.0,1199,1093785526
23878,23887,7605,436,163,2.5,163,1137965070
23144,23153,4329,16074,1199,4.5,1199,1248555486
19027,19036,910,58053,395,3.0,395,1308110767
23203,23212,5034,4904,1417,4.5,1417,1210393925
32019,32046,3617,25049,765,3.0,765,1135983181
835,835,2292,47658,1199,5.0,1199,1318791968
17066,17075,7081,16073,1199,3.5,1199,1161867476
24052,24061,1649,65401,24445,4.5,24445,1308237312
41725,41752,230,513,14,3.5,14,1319301690
6726,6735,136,22464,453,3.0,453,1111343052
42713,42740,1531,33662,14879,4.0,14879,1191777112
4753,4753,1372,18968,6272,3.5,6272,1309544010
4945,4945,7405,30983,2055,3.0,2055,1149776640
